"REGION","Z70_DIST","Z16_DIST_B","district_170","district_216"
"CENTRAL","ABURA / ASEBU / KWAMANKESE","ABURA / ASEBU / KWAMANKESE","abura asebu kwamankese","abura asebu kwamankese"
"GREATER ACCRA","ACCRA METROPOLIS","LA DADE KOTOPON","accra","la dade kotopon"
"GREATER ACCRA","ACCRA METROPOLIS","ACCRA METROPOLIS","accra","accra"
"VOLTA","ADAKLU ANYIGBE","AGOTIME ZIOPE","adaklu anyigbe","agotime ziope"
"VOLTA","ADAKLU ANYIGBE","ADAKLU","adaklu anyigbe","adaklu"
"ASHANTI","ADANSI NORTH","ADANSI NORTH","adansi north","adansi north"
"ASHANTI","ADANSI SOUTH","ADANSI SOUTH","adansi south","adansi south"
"GREATER ACCRA","ADENTA","ADENTA","adenta","adenta"
"ASHANTI","AFIGYA KWABRE","AFIGYA KWABRE","afigya kwabre","afigya kwabre"
"ASHANTI","AFIGYA SEKYERE","AFIGYA SEKYERE","afigya sekyere","sekyere south"
"CENTRAL","AGONA EAST","AGONA EAST","agona east","agona east"
"CENTRAL","AGONA WEST","AGONA WEST","agona west","agona west"
"ASHANTI","AHAFO ANO NORTH","AHAFO ANO NORTH","ahafo ano north","ahafo ano north"
"ASHANTI","AHAFO ANO SOUTH","AHAFO ANO SOUTH","ahafo ano south","ahafo ano south"
"WESTERN","AHANTA WEST","AHANTA WEST","ahanta west","ahanta west"
"CENTRAL","AJUMAKO-ENYAN-ESIAM","AJUMAKO-ENYAN-ESIAM","ajumako enyan esiam","ajumako enyan esiam"
"VOLTA","AKATSI SOUTH","AKATSI SOUTH","akatsi","akatsi south"
"VOLTA","AKATSI NORTH","AKATSI NORTH","akatsi","akatsi north"
"EASTERN","AKWAPEM NORTH","AKWAPEM NORTH","akwapem north","akwapem north"
"EASTERN","AKWAPEM SOUTH","NSAWAM ADOAGYIRI","akwapem south","nsawam adoagyiri"
"EASTERN","AKWAPEM SOUTH","AKWAPEM SOUTH","akwapem south","akwapem south"
"EASTERN","AKYEM MANSA","AKYEM MANSA","akyem mansa","akyem mansa"
"ASHANTI","AMANSIE CENTRAL","AMANSIE CENTRAL","amansie central","amansie central"
"ASHANTI","AMANSIE WEST","AMANSIE WEST","amansie west","amansie west"
"WESTERN","AOWIN / SUAMAN","AOWIN","aowin suaman","aowin"
"WESTERN","AOWIN / SUAMAN","SUAMAN","aowin suaman","suaman"
"ASHANTI","ASANTE AKIM NORTH","ASANTE AKIM NORTH","asante akim north","asante akim north"
"ASHANTI","ASANTE AKIM NORTH","ASANTE AKIM CENTRAL MUNICIPAL","asante akim north","asante akim central"
"ASHANTI","ASANTE AKIM SOUTH","ASANTE AKIM SOUTH","asante akim south","asante akim south"
"GREATER ACCRA","ASHAIMAN","ASHAIMAN","ashaiman","ashaiman"
"CENTRAL","ASIKUMA / ODOBEN / BRAKWA","ASIKUMA / ODOBEN / BRAKWA","asikuma odoben brakwa","asikuma odoben brakwa"
"CENTRAL","ASSIN NORTH","ASSIN NORTH","assin north","assin north"
"CENTRAL","ASSIN SOUTH","ASSIN SOUTH","assin south","assin south"
"BRONG AHAFO","ASUNAFO NORTH","ASUNAFO NORTH","asunafo north","asunafo north"
"BRONG AHAFO","ASUNAFO SOUTH","ASUNAFO SOUTH","asunafo south","asunafo south"
"EASTERN","ASUOGYAMAN","ASUOGYAMAN","asuogyaman","asuogyaman"
"BRONG AHAFO","ASUTIFI","ASUTIFI NORTH","asutifi","asutifi north"
"BRONG AHAFO","ASUTIFI","ASUTIFI SOUTH","asutifi","asutifi south"
"BRONG AHAFO","ATEBUBU AMANTIN","ATEBUBU AMANTIN","atebubu amantin","atebubu amantin"
"EASTERN","ATIWA","ATIWA","atiwa","atiwa"
"ASHANTI","ATWIMA KWANWOMA","ATWIMA KWANWOMA","atwima kwanwoma","atwima kwanwoma"
"ASHANTI","ATWIMA MPONUA","ATWIMA MPONUA","atwima mponua","atwima mponua"
"ASHANTI","ATWIMA NWABIAGYA","ATWIMA NWABIAGYA","atwima nwabiagya","atwima nwabiagya"
"CENTRAL","EWUTU SENYA","AWUTU SENYA EAST MUNICIPAL","awutu senya","awutu senya east"
"CENTRAL","EWUTU SENYA","AWUTU SENYA WEST","awutu senya","awutu senya"
"UPPER EAST","BAWKU MUNICIPAL","BINDURI","bawku","binduri"
"UPPER EAST","BAWKU MUNICIPAL","PUSIGA","bawku","pusiga"
"UPPER EAST","BAWKU MUNICIPAL","BAWKU MUNICIPAL","bawku","bawku"
"UPPER EAST","BAWKU WEST","BAWKU WEST","bawku west","bawku west"
"ASHANTI","BEKWAI MUNICIPAL","BEKWAI MUNICIPAL","bekwai","bekwai"
"BRONG AHAFO","BEREKUM","BEREKUM","berekum","berekum"
"WESTERN","BIA","BIA WEST","bia","bia west"
"WESTERN","BIA","BIA EAST","bia","bia east"
"VOLTA","BIAKOYE","BIAKOYE","biakoye","biakoye"
"EASTERN","BIRIM MUNICIPAL","BIRIM MUNICIPAL","birim","birim central"
"EASTERN","BIRIM NORTH","BIRIM NORTH","birim north","birim north"
"EASTERN","BIRIM SOUTH","BIRIM SOUTH","birim south","birim south"
"NORTHERN","BOLE","BOLE","bole","bole"
"UPPER EAST","BOLGATANGA MUNICIPAL","BOLGATANGA MUNICIPAL","bolgatanga","bolgatanga"
"UPPER EAST","BONGO","BONGO","bongo","bongo"
"ASHANTI","BOSOME FREHO","BOSOME FREHO","bosome freho","bosome freho"
"ASHANTI","BOSOMTWE /ATWIMA / KWANWOMA","BOSOMTWE /ATWIMA / KWANWOMA","bosomtwe atwima kwanwoma","bosomtwe"
"UPPER EAST","BUILSA","BUILSA SOUTH","builsa","builsa south"
"UPPER EAST","BUILSA","BUILSA NORTH","builsa","builsa north"
"NORTHERN","BUNKPURUGU YONYO","BUNKPURUGU YONYO","bunkpurugu yonyo","bunkpurugu yonyo"
"CENTRAL","CAPE COAST METRO","CAPE COAST METRO","cape coast metro","cape coast"
"NORTHERN","CHEREPONI","CHEREPONI","chereponi","chereponi"
"GREATER ACCRA","DANGBE EAST","ADA EAST","dangbe east","ada east"
"GREATER ACCRA","DANGBE EAST","ADA WEST","dangbe east","ada west"
"GREATER ACCRA","DANGBE WEST","SHAI OSU DOKU","dangbe west","shai osudoku"
"GREATER ACCRA","DANGBE WEST","NINGO PRAMPRAM","dangbe west","ningo prampram"
"BRONG AHAFO","DORMAA MUNICIPAL","DORMAA MUNICIPAL","dormaa","dormaa"
"BRONG AHAFO","DORMAA MUNICIPAL","DORMAA WEST","dormaa","dormaa west"
"BRONG AHAFO","DORMAA EAST","DORMAA EAST","dormaa east","dormaa east"
"EASTERN","EAST AKIM","EAST AKIM","east akim","east akim"
"NORTHERN","EAST GONJA","EAST GONJA","east gonja","east gonja"
"CENTRAL","EFFUTU","EFFUTU","effutu","effutu"
"ASHANTI","EJISU JUABEN","EJISU JUABEN","ejisu juaben","ejisu juaben"
"ASHANTI","EJURA SEKYE DUMASE","EJURA SEKYE DUMASE","ejura sekye dumase","ejura sekyedumase"
"WESTERN","ELLEMBELLE","ELLEMBELLE","ellembelle","ellembelle"
"EASTERN","FANTEAKWA","FANTEAKWA","fanteakwa","fanteakwa"
"GREATER ACCRA","GA EAST","LA NKWANTANANG MADINA","ga east","la nkwantanang madina"
"GREATER ACCRA","GA EAST","GA EAST","ga east","ga east"
