district_label_post,report_year,title,fund_source,award_date,start_date,completion_date,,,district_label_post_agg,award_date_txt,start_date_txt,completion_date_txt
Abura/Asebu/Kwamankese District Assembly,2010,,,,,,,,Abura/Asebu/Kwamankese District Assembly,,,
Accra Metropolitan Assembly,2010,,,,,,,,Accra Metropolitan Assembly,,,
Adaklu-Anyigbe District Assembly,2010,,,,,,,,Adaklu-Anyigbe District Assembly,,,
Adansi North District Assembly,2010,,,,,,,,Adansi North District Assembly,,,
Adansi South District Assembly,2010,,,,,,,,Adansi South District Assembly,,,
Adenta Municipal Assembly,2010,,,,,,,,Adenta Municipal Assembly,,,
Afigya-Kwabre District Assembly,2010,,,,,,,,Afigya-Kwabre District Assembly,,,
Agona East District Assembly,2010,,,,,,,,Agona East District Assembly,,,
Agona West Municipal Assembly,2010,,,,,,,,Agona West Municipal Assembly,,,
Ahafo Ano North District Assembly,2010,,,,,,,,Ahafo Ano North District Assembly,,,
Ahafo Ano South District Assembly,2010,,,,,,,,Ahafo Ano South District Assembly,,,
Ahanta West District Assembly,2010,,,,,,,,Ahanta West District Assembly,,,
Ajumako/Enyan/Essiam District Assembly,2010,,,,,,,,Ajumako/Enyan/Essiam District Assembly,,,
Akatsi District Assembly,2010,,,,,,,,Akatsi District Assembly,,,
Akuapim North Municipal Assembly,2010,,,,,,,,Akuapim North Municipal Assembly,,,
Akuapim South Municipal Assembly,2010,,,,,,,,Akuapim South Municipal Assembly,,,
Akyemansa District Assembly,2010,,,,,,,,Akyemansa District Assembly,,,
Amansie Central District Assembly,2010,,,,,,,,Amansie Central District Assembly,,,
Amansie West District Assembly,2010,,,,,,,,Amansie West District Assembly,,,
Amenfi West District Assembly,2010,,,,,,,,Amenfi West District Assembly,,,
Aowin/Suaman District Assembly,2010,,,,,,,,Aowin/Suaman District Assembly,,,
Asante Akim North Municipal Assembly,2010,,,,,,,,Asante Akim North Municipal Assembly,,,
Asante Akim South District Assembly,2010,,,,,,,,Asante Akim South District Assembly,,,
Ashaiman Municipal Assembly,2010,,,,,,,,Ashaiman Municipal Assembly,,,
Asikuma/Odoben/Brakwa District Assembly,2010,,,,,,,,Asikuma/Odoben/Brakwa District Assembly,,,
Assin North Municipal Assembly,2010,,,,,,,,Assin North Municipal Assembly,,,
Assin South District Assembly,2010,,,,,,,,Assin South District Assembly,,,
Asunafo North Municipal Assembly,2010,,,,,,,,Asunafo North Municipal Assembly,,,
Asunafo South District Assembly,2010,,,,,,,,Asunafo South District Assembly,,,
Asunafo South District Assembly,2010,,,,,,,,Asunafo South District Assembly,,,
Asuogyaman District Assembly,2010,,,,,,,,Asuogyaman District Assembly,,,
Asutifi North District Assembly,2010,,,,,,,,Asutifi North District Assembly,,,
Atebubu-Amantin District Assembly,2010,,,,,,,,Atebubu-Amantin District Assembly,,,
Atiwa District Assembly,2010,,,,,,,,Atiwa District Assembly,,,
Atwima Kwanwoma District Assembly,2010,,,,,,,,Atwima Kwanwoma District Assembly,,,
Atwima Mponua District Assembly,2010,,,,,,,,Atwima Mponua District Assembly,,,
Atwima Nwabiagya District Assembly,2010,,,,,,,,Atwima Nwabiagya District Assembly,,,
Awutu Senya District Assembly,2010,,,,,,,,Awutu Senya District Assembly,,,
Bawku Municipal Assembly,2010,,,,,,,,Bawku Municipal Assembly,,,
Bawku West District Assembly,2010,,,,,,,,Bawku West District Assembly,,,
Bekwai Municipal Assembly,2010,,,,,,,,Bekwai Municipal Assembly,,,
Berekum Municipal Assembly,2010,,,,,,,,Berekum Municipal Assembly,,,
Bia District Assembly,2010,,,,,,,,Bia District Assembly,,,
Biakoye District Assembly,2010,,,,,,,,Biakoye District Assembly,,,
Bibiani/Ahwiaso/Bekwai District Assembly,2010,,,,,,,,Bibiani/Ahwiaso/Bekwai District Assembly,,,
Birim Central Municipal Assembly,2010,,,,,,,,Birim Central Municipal Assembly,,,
Birim North District Assembly,2010,,,,,,,,Birim North District Assembly,,,
Birim South District Assembly,2010,,,,,,,,Birim South District Assembly,,,
Bole District Assembly,2010,,,,,,,,Bole District Assembly,,,
Bolgatanga Municipal Assembly,2010,,,,,,,,Bolgatanga Municipal Assembly,,,
Bongo District Assembly,2010,,,,,,,,Bongo District Assembly,,,
Bosome Freho District Assembly,2010,,,,,,,,Bosome Freho District Assembly,,,
Bosomtwe District Assembly,2010,,,,,,,,Bosomtwe District Assembly,,,
Builsa District Assembly,2010,,,,,,,,Builsa District Assembly,,,
Bunkprugu-Yunyoo District Assembly,2010,,,,,,,,Bunkprugu-Yunyoo District Assembly,,,
Cape Coast Metropolitan Assembly,2010,,,,,,,,Cape Coast Metropolitan Assembly,,,
Central Gonja District Assembly,2010,,,,,,,,Central Gonja District Assembly,,,
Chereponi District Assembly,2010,,,,,,,,Chereponi District Assembly,,,
Dangme East District Assembly,2010,,,,,,,,Dangme East District Assembly,,,
Dangme West District Assembly,2010,,,,,,,,Dangme West District Assembly,,,
Dangme West District Assembly,2010,,,,,,,,Dangme West District Assembly,,,
Dormaa East District Assembly,2010,,,,,,,,Dormaa East District Assembly,,,
Dormaa Municipal Assembly,2010,,,,,,,,Dormaa Municipal Assembly,,,
East Akim Municipal Assembly,2010,,,,,,,,East Akim Municipal Assembly,,,
East Gonja District Assembly,2010,,,,,,,,East Gonja District Assembly,,,
East Mamprusi District Assembly,2010,,,,,,,,East Mamprusi District Assembly,,,
Effutu Municipal Assembly,2010,,,,,,,,Effutu Municipal Assembly,,,
Ejisu Juaben  Municipal Assembly,2010,,,,,,,,Ejisu Juaben  Municipal Assembly,,,
Ejura Sekyedumase Municipal Assembly,2010,,,,,,,,Ejura Sekyedumase Municipal Assembly,,,
Ellembele District Assembly,2010,,,,,,,,Ellembele District Assembly,,,
Fanteakwa District Assembly,2010,,,,,,,,Fanteakwa District Assembly,,,
Ga East Municipal Assembly,2010,,,,,,,,Ga East Municipal Assembly,,,
Ga South Municipal Assembly,2010,,,,,,,,Ga South Municipal Assembly,,,
Ga West Municipal Assembly,2010,,,,,,,,Ga West Municipal Assembly,,,
Garu-Tempane District Assembly,2010,,,,,,,,Garu-Tempane District Assembly,,,
Gomoa East District Assembly,2010,,,,,,,,Gomoa East District Assembly,,,
Gomoa West District Assembly,2010,,,,,,,,Gomoa West District Assembly,,,
Gushegu District Assembly,2010,,,,,,,,Gushegu District Assembly,,,
Ho Municipal Assembly,2010,,,,,,,,Ho Municipal Assembly,,,
Hohoe Municipal Assembly,2010,,,,,,,,Hohoe Municipal Assembly,,,
Jaman North District Assembly,2010,,,,,,,,Jaman North District Assembly,,,
Jaman South District Assembly,2010,,,,,,,,Jaman South District Assembly,,,
Jasikan District Assembly,2010,,,,,,,,Jasikan District Assembly,,,
Jirapa District Assembly,2010,,,,,,,,Jirapa District Assembly,,,
Jomoro District Assembly,2010,,,,,,,,Jomoro District Assembly,,,
Juaboso District Assembly,2010,,,,,,,,Juaboso District Assembly,,,
Kadjebi District Assembly,2010,,,,,,,,Kadjebi District Assembly,,,
Karaga District Assembly,2010,,,,,,,,Karaga District Assembly,,,
Kassena Nankana East Municipal Assembly,2010,,,,,,,,Kassena Nankana East Municipal Assembly,,,
Kassena Nankana West District Assembly,2010,,,,,,,,Kassena Nankana West District Assembly,,,
Keta Municipal Assembly,2010,,,,,,,,Keta Municipal Assembly,,,
Ketu North District Assembly,2010,,,,,,,,Ketu North District Assembly,,,
Ketu South Municipal Assembly,2010,,,,,,,,Ketu South Municipal Assembly,,,
Kintampo North Municipal Assembly,2010,,,,,,,,Kintampo North Municipal Assembly,,,
Kintampo South District Assembly,2010,,,,,,,,Kintampo South District Assembly,,,
Komenda/Edina/Eguafo/ Abirem Municipal Assembly,2010,,,,,,,,Komenda/Edina/Eguafo/ Abirem Municipal Assembly,,,
Kpandai District Assembly,2010,,,,,,,,Kpandai District Assembly,,,
Kpando Municipal Assembly,2010,,,,,,,,Kpando Municipal Assembly,,,
Krachi East District Assembly,2010,,,,,,,,Krachi East District Assembly,,,
Krachi West District Assembly,2010,,,,,,,,Krachi West District Assembly,,,
Kumasi Metropolitan Assembly,2010,,,,,,,,Kumasi Metropolitan Assembly,,,
Kwabre East District Assembly,2010,,,,,,,,Kwabre East District Assembly,,,
Kwaebibirem District Assembly,2010,,,,,,,,Kwaebibirem District Assembly,,,
Kwahu East District Assembly,2010,,,,,,,,Kwahu East District Assembly,,,
Kwahu North District Assembly,2010,,,,,,,,Kwahu North District Assembly,,,
Kwahu South District Assembly,2010,,,,,,,,Kwahu South District Assembly,,,
Kwahu West Municipal Assembly,2010,,,,,,,,Kwahu West Municipal Assembly,,,
Lambussie Karni  District Assembly,2010,,,,,,,,Lambussie Karni  District Assembly,,,
Lawra  District Assembly,2010,,,,,,,,Lawra  District Assembly,,,
Ledzekuku-Krowor Municipal Assembly,2010,,,,,,,,Ledzekuku-Krowor Municipal Assembly,,,
Lower Manya Krobo Municipal Assembly,2010,,,,,,,,Lower Manya Krobo Municipal Assembly,,,
Mampong  Municipal Assembly,2010,,,,,,,,Mampong  Municipal Assembly,,,
Mfantsiman Municipal Assembly,2010,,,,,,,,Mfantsiman Municipal Assembly,,,
Mpohor Wassa District Assembly,2010,,,,,,,,Mpohor Wassa District Assembly,,,
Nadowli  District Assembly,2010,,,,,,,,Nadowli  District Assembly,,,
Nanumba North District Assembly,2010,,,,,,,,Nanumba North District Assembly,,,
Nanumba South District Assembly,2010,,,,,,,,Nanumba South District Assembly,,,
New Juaben Municipal Assembly,2010,,,,,,,,New Juaben Municipal Assembly,,,
Nkoranza North District Assembly,2010,,,,,,,,Nkoranza North District Assembly,,,
Nkoranza South District Assembly,2010,,,,,,,,Nkoranza South District Assembly,,,
Nkwanta North District Assembly,2010,,,,,,,,Nkwanta North District Assembly,,,
Nkwanta South District Assembly,2010,,,,,,,,Nkwanta South District Assembly,,,
North Tongu District Assembly,2010,,,,,,,,North Tongu District Assembly,,,
Nzema East Municipal Assembly,2010,,,,,,,,Nzema East Municipal Assembly,,,
