"constituencyraw","nppraw","pncraw","ndcraw","dfp","dpp","cppraw","rpd","indraw","valid_votesraw","rejected_votes","total_votes_castraw","registered_voters_raw","turnoutraw","pct_rejectedraw","constituency_pre_recode.x","npptot","ndctot","valid_votes","registered_voters","total_votes_cast","two_party_vote_cons","ndc_prop_two_party_cons","ndc_cons","regionname","fid_c230","dist130","c230_id_g","const230_g","Group.1","constituency_pre_recode.y","district_pre_recode","district1","sumndc_dist170","sumtwoparty_dist170","ndc_share_2p_dist170","valid_votes_dist170","rejected_votes_dist170","total_votes_cast_dist170","registered_voters_dist170","turnout_reg_voters","ndc_pct_tot_dist170","remove","district_170"
"ABETIFI"," 16,485 "," 106 "," 6,851 ",53,22," 208 ",10," 45 "," 23,780 ",552," 24,332 ",37835,"64.31%","2.27%","abetifi",16485,6851,23780,37835,24332,23336,0.293580733630442,0.288099243061396,"EASTERN",89,"KWAHU SOUTH",417,"ABETIFI","kwahu east","abetifi","kwahu east","kwahu east",6851,23336,0.293580733630442,23780,552,24332,37835,0.643108233117484,0.288099243061396,0,"kwahu east"
"ABIREM"," 13,857 "," 78 "," 7,635 ",50,10," 175 ",4," 30 "," 21,839 ",487," 22,326 ",30405,"73.43%","2.18%","abirem",13857,7635,21839,30405,22326,21492,0.355248464544947,0.349603919593388,"EASTERN",79,"BIRIM NORTH",408,"ABIREM","birim north","abirem","birim north","birim north",7635,21492,0.355248464544947,21839,487,22326,30405,0.734287123828318,0.349603919593388,0,"birim north"
"ABLEKUMA CENTRAL"," 40,555 "," 276 "," 43,392 ",87,44," 805 ",9," 22 "," 85,190 ",898," 86,088 ",127678,"67.43%","1.04%","ablekuma central",40555,43392,85190,127678,86088,83947,0.516897566321608,0.509355558164104,NA,NA,NA,NA,NA,NA,NA,"accra","accra",406073,799291,0.508041501780953,814706,7006,821712,1223858,0.671411225812145,0.498428881093302,0,"accra"
"ABOKOBI-MADINA"," 27,708 "," 205 "," 34,571 ",112,57," 589 ",8," 8 "," 63,258 ",610," 63,868 ",92014,"69.41%","0.96%","abokobi madina",27708,34571,63258,92014,63868,62279,0.555098829460974,0.546507951563439,"GREATER ACCRA",106,"GA",512,"ABOKOBI/ MADINA","ga east","abokobi  madina","ga east","ga east",57508,121588,0.472974306675001,123564,1252,124816,186509,0.669222396774418,0.46541063740248,0,"ga east"
"ABURA/A/KWAMANKESE"," 13,088 "," 169 "," 20,885 ",188,60," 787 ",23," 58 "," 35,258 ",1330," 36,588 ",52654,"69.49%","3.64%","abura a kwamankese",13088,20885,35258,52654,36588,33973,0.614752892002473,0.592347835952124,"CENTRAL",54,"ABURA/ASEBU/KWAMANKESE",301,"ABURA/ASEBU/KWAMANKESE","abura asebu kwamankese","abura asebu kwamankese","abura asebu kwamankese","abura asebu kwamankese",20885,33973,0.614752892002473,35258,1330,36588,52654,0.694875982831314,0.592347835952124,0,"abura asebu kwamankese"
"ABURI/NSAWAM"," 30,912 "," 145 "," 23,504 ",94,29," 483 ",26," 54 "," 55,247 ",1208," 56,455 ",78836,"71.61%","2.14%","aburi nsawam",30912,23504,55247,78836,56455,54416,0.431931784769186,0.425434865241552,"EASTERN",77,"AKWAPIM SOUTH",405,"ABURI-NSAWAM","akwapem south","aburi nsawam","akwapem south","akwapem south",23504,54416,0.431931784769186,55247,1208,56455,78836,0.716106854736415,0.425434865241552,0,"akwapem south"
"ADA"," 3,357 "," 79 "," 16,431 ",88,21," 252 ",4," 23 "," 20,255 ",450," 20,705 ",30526,"67.83%","2.17%","ada",3357,16431,20255,30526,20705,19788,0.830351728320194,0.811207109355715,"GREATER ACCRA",102,"DANGBE EAST",508,"ADA","dangbe east","ada","dangbe east","dangbe east",31383,38257,0.820320464228769,39172,1145,40317,57342,0.703097206236267,0.801158991116103,0,"dangbe east"
"ADANSI ASOKWA"," 13,930 "," 113 "," 9,609 ",104,25," 458 ",10," 36 "," 24,285 ",677," 24,962 ",34100,"73.20%","2.71%","adansi asokwa",13930,9609,24285,34100,24962,23539,0.408216151918093,0.395676343421865,"ASHANTI",0,"ADANSI EAST",101,"ADANSI ASOKWA","adansi north","adansi asokwa","adansi north","adansi north",13221,39657,0.333383765791664,40719,997,41716,56669,0.73613439446611,0.324688720253444,0,"adansi north"
"ADENTA"," 17,143 "," 89 "," 20,354 ",27,22," 519 ",3," 9 "," 38,166 ",326," 38,492 ",60859,"63.25%","0.85%","adenta",17143,20354,38166,60859,38492,37497,0.542816758674027,0.5333018917361,"GREATER ACCRA",111,"TEMA",523,"ADENTA","tema","adenta","tema","adenta",20354,37497,0.542816758674027,38166,326,38492,60859,0.632478351599599,0.5333018917361,0,"adenta"
"AFIGYA-SEKYERE EAST"," 33,855 "," 121 "," 9,240 ",76,13," 268 ",11," 39 "," 43,623 ",464," 44,087 ",57040,"77.29%","1.05%","afigya sekyere east",33855,9240,43623,57040,44087,43095,0.214410024364775,0.211814868303418,"ASHANTI",5,"AFIGYA SEKYERE",105,"AFIGYA SEKYERE EAST","afigya sekyere","afigya sekyere east","afigya sekyere","afigya sekyere",9240,43095,0.214410024364775,43623,464,44087,57040,0.772913744740533,0.211814868303418,0,"afigya sekyere"
